FoodID,FoodDescription,FoodDescriptionF,ConversionFactorValue
969,"Soup, beef noodle, dehydrated","Soupe, boeuf et nouilles, déshydratée",0.092
970,"Soup, cauliflower, dehydrated","Soupe, chou-fleur, déshydratée",
971,"Soup, cream, celery, dehydrated","Soupe, crème, céleri, déshydratée",
972,"Soup, broth, chicken, dehydrated","Soupe, bouillon, poulet, déshydratée",0.02041
973,"Soup, broth, chicken, cubed, dehydrated","Soupe, bouillon, poulet, cube, déshydratée",0.059
974,"Soup, cream, chicken, dehydrated","Soupe, crème, poulet, déshydratée",0.18
975,"Soup, chicken rice, dehydrated","Soupe, poulet et riz, déshydratée",
976,"Soup, chicken vegetable, dehydrated","Soupe, poulet et légumes, déshydratée",0.106
979,"Soup, consomme, dehydrated","Soupe, consommé, déshydraté",0.57
980,"Soup, leek, dehydrated","Soupe, poireaux, déshydratée",0.78
981,"Soup, minestrone, dehydrated","Soupe, minestrone, déshydratée",0.78
982,"Soup, mushroom, dehydrated","Soupe, champignons, déshydratée",0.17
983,"Soup, oxtail, dehydrated","Soupe, queue de boeuf, déshydratée",0.74
984,"Soup, pea, green or split, dehydrated","Soupe, pois verts ou cassés, déshydratée",0.28
985,"Soup, tomato, dehydrated","Soupe, tomates, déshydratée",0.21
986,"Soup, tomato vegetable, dehydrated","Soupe, tomates et légumes, déshydratée",0.01216
987,"Soup, vegetable beef, dehydrated","Soupe, légumes et boeuf, déshydratée",0.74
988,"Soup, cream, vegetable, dehydrated","Soupe, crème, légumes, déshydratée",0.18
994,"Sauce, Stroganoff, dehydrated","Sauce, Stroganoff, déshydratée",0.46
997,"Sauce, teriyaki, ready-to-serve","Sauce, teriyaki, prête-à-servir",0.06086
999,"Gravy, au jus, canned","Sauce, au jus, conserve",1.00592
1000,"Gravy, au jus, dehydrated","Sauce, au jus, déshydratée",0.6086
1001,"Gravy, beef, canned","Sauce, boeuf, conserve",0.59087
1002,"Gravy, beef, dehydrated","Sauce, boeuf, déshydratée",0.0203
1003,"Gravy, chicken, canned","Sauce, poulet, conserve",0.60358
1004,"Gravy, chicken, dehydrated","Sauce, poulet, déshydratée",0.02723
1005,"Gravy, mushroom, canned","Sauce, champignons, conserve",0.60358
1006,"Gravy, mushroom, dehydrated","Sauce, champignons, déshydratée",0.027
1007,"Gravy, onion, dehydrated","Sauce, oignon, déshydratée",0.0051
1008,"Gravy, pork, dehydrated","Sauce, porc, déshydratée",0.0811
1009,"Gravy, turkey, canned","Sauce, dinde, conserve",0.6036
1010,"Gravy, turkey, dehydrated","Sauce, dinde, déshydratée",0.06081
1011,"Gravy, unspecified, dehydrated","Sauce, non spécifiée, déshydratée",0.02027
1012,"Soup, chicken noodle, dehydrated","Soupe, poulet et nouilles, déshydratée",0.111
1017,"Sauce, barbecue, ready-to-serve","Sauce, barbecue, prête-à-servir",0.1585
1025,"Sauce, salsa, ready-to-serve","Sauce, salsa, prête-à-servir",0.16723
1026,"Sauce, white, thin, 2% milk, homemade","Sauce, blanche, consistance claire, lait 2%, faite maison",2.53593
1027,"Sauce, white, medium, 2% milk, homemade","Sauce, blanche, consistance moyenne, lait 2%, faite maison",2.5359
1028,"Sauce, white, thick, homemade","Sauce, blanche, consistance épaisse, faite maison",2.53593
1029,"Sauce, pepper or hot, ready-to-serve","Sauce, piments forts, prête-à-servir",2.39796
1030,"Sauce, pepper, TABASCO, ready-to-serve","Sauce, piments, TABASCO, prête-à-servir",2.39796
1046,"Soup, cream, asparagus, canned, condensed, water added","Soupe, crème, asperges, conserve, condensée, eau ajoutée",5.85423
1047,"Soup, bean with bacon, canned, condensed, water added","Soupe, fèves et bacon, conserve, condensée, eau ajoutée",2.6278
1049,"Soup, beef noodle, canned, condensed, water added","Soupe, boeuf et nouilles, conserve, condensée, eau ajoutée",5.85423
1050,"Soup, cream, celery, canned, condensed, water added","Soupe, crème, céleri, conserve, condensée, eau ajoutée",2.5543
1051,"Soup, cheddar cheese, canned, condensed, water added","Soupe, fromage cheddar, conserve, condensée, eau ajoutée",2.582
1052,"Soup, broth, chicken, canned, condensed, water added","Soupe, bouillon, poulet, conserve, condensée, eau ajoutée",2.5884
1053,"Soup, cream, chicken, canned, condensed, water added","Soupe, crème, poulet, conserve, condensée, eau ajoutée",2.5669
1054,"Soup, chicken gumbo, canned, condensed, water added","Soupe, poulet et gombo (okra), conserve, condensée, eau ajoutée",5.85423
1055,"Soup, chicken noodle, canned, condensed, water added","Soupe, poulet et nouilles, conserve, condensée, eau ajoutée",1.0686
1056,"Soup, chicken rice, canned, condensed, water added","Soupe, poulet et riz, conserve, condensée, eau ajoutée",2.615
1057,"Soup, chicken vegetable, canned, condensed, water added","Soupe, poulet et légumes, conserve, condensée, eau ajoutée",5.79418
1060,"Soup, broth (consomme), beef, canned, condensed, water added","Soupe, bouillon ou consommé, boeuf, conserve, condensée, eau ajoutée",2.5733
1061,"Soup, minestrone, canned, condensed, water added","Soupe, minestrone, conserve, condensée, eau ajoutée",5.79418
1062,"Soup, mushroom barley, canned, condensed, water added","Soupe, champignons et orge, conserve, condensée, eau ajoutée",5.85423
1063,"Soup, cream, mushroom, canned, condensed, water added","Soupe, crème, champignons, conserve, condensée, eau ajoutée",2.3617
1064,"Soup, onion, canned, condensed, water added","Soupe, oignon, conserve, condensée, eau ajoutée",5.79418
1065,"Soup, cream, onion, canned, condensed, water added","Soupe, crème, oignon, conserve, condensée, eau ajoutée",5.85423
1067,"Soup, cream, potato, canned, condensed, water added","Soupe, crème, pommes de terre, conserve, condensée, eau ajoutée",5.85423
1068,"Soup, scotch broth, canned, condensed, water added","Soupe, potage écossais, conserve, condensée, eau ajoutée",5.79418
1071,"Soup, tomato rice, canned, condensed, water added","Soupe, tomates et riz, conserve, condensée, eau ajoutée",5.92628
1075,"Soup, vegetable with beef broth, canned, condensed, water added","Soupe, légumes avec bouillon de boeuf, conserve, condensée, eau ajoutée",2.6146
1076,"Soup, cream, asparagus, dehydrated, water added","Soupe, crème, asperges, déshydratée, eau ajoutée",2.65216
1077,"Soup, bean with bacon, dehydrated, water added","Soupe, fèves et bacon, déshydratée, eau ajoutée",2.8002
1078,"Soup, broth, beef, dehydrated, water added","Soupe, bouillon, boeuf, déshydratée, eau ajoutée",2.536
1079,"Soup, broth, beef, cubed, dehydrated, water added","Soupe, bouillon, boeuf, cube, déshydratée, eau ajoutée",2.536
1080,"Soup, beef noodle, dehydrated, water added","Soupe, boeuf et nouilles, déshydratée, eau ajoutée",2.65216
1081,"Soup, cauliflower, dehydrated, water added","Soupe, chou-fleur, déshydratée, eau ajoutée",2.70499
1082,"Soup, cream, celery, dehydrated, water added","Soupe, crème, céleri, déshydratée, eau ajoutée",2.68385
1083,"Soup, broth, chicken, dehydrated, water added","Soupe, bouillon, poulet, déshydratée, eau ajoutée",2.57819
1084,"Soup, broth, chicken, cubed, dehydrated, water added","Soupe, bouillon, poulet, cube, déshydratée, eau ajoutée",2.56762
1085,"Soup, cream, chicken, dehydrated, water added","Soupe, crème, poulet, déshydratée, eau ajoutée",1.10313
1086,"Soup, chicken rice, dehydrated, water added","Soupe, poulet et riz, déshydratée, eau ajoutée",2.53593
1087,"Soup, chicken vegetable, dehydrated, water added","Soupe, poulet et légumes, déshydratée, eau ajoutée",2.65216
1088,"Soup, consomme, dehydrated, water added","Soupe, consommé, déshydraté, eau ajoutée",2.631
1089,"Soup, leek, dehydrated, water added","Soupe, poireaux, déshydratée, eau ajoutée",2.68385
1090,"Soup, minestrone, dehydrated, water added","Soupe, minestrone, déshydratée, eau ajoutée",2.68385
1091,"Soup, mushroom, dehydrated, water added","Soupe, champignons, déhydratée, eau ajoutée",2.6733
1092,"Soup, oxtail, dehydrated, water added","Soupe, queue de boeuf, déshydratée, eau ajoutée",2.57842
1093,"Soup, pea, green or split, dehydrated, water added","Soupe, pois verts ou cassés, déshydratée, eau ajoutée",2.8635
1094,"Soup, tomato, dehydrated, water added","Soupe, tomates, déshydratée, eau ajoutée",2.8001
1095,"Soup, tomato vegetable, dehydrated, water added","Soupe, tomates et légumes, déshydratée, eau ajoutée",2.54649
1096,"Soup, vegetable beef, dehydrated, water added","Soupe, légumes et boeuf, déshydratée, eau ajoutée",2.6733
1097,"Soup, cream, vegetable, dehydrated, water added","Soupe, crème, légumes, déshydratée, eau ajoutée",2.7473
1108,"Soup, chicken noodle, dehydrated, water added","Soupe, poulet et nouilles, déshydratée, eau ajoutée",2.53593
1116,"Soup, pea, green, canned, condensed","soupe, pois verts, conserve, condensée",2.77895
1117,"Soup, split pea with ham, ready-to-serve","Soupe, pois cassés avec jambon, prête-à-servir",2.6225
1118,"Soup, split pea with ham, canned, condensed","Soupe, pois cassés avec jambon, conserve, condensée",2.84235
1119,"Soup, vegetable with beef (and barley), canned, condensed","Soupe, légumes avec boeuf (et orge), conserve, condensée",3.0451
1120,"Soup, onion, dehydrated","Soupe, oignon, déshydratée",0.071
1121,"Soup, tomato, canned, condensed","Soupe, tomates, conserve, condensée",3.1514
1124,"Soup, pea, green, canned, condensed, water added","Soupe, pois verts, conserve, condensée, eau ajoutée",5.99689
1125,"Soup, split pea with ham, canned, condensed, water added","Soupe, pois cassés avec jambon, conserve, condenséee, au ajoutée",2.6733
1126,"Soup, vegetable with beef (and barley), canned, condensed, water added","Soupe, légumes avec boeuf (et orge), conserve, condensée, eau ajoutée",2.5924
1127,"Soup, onion, dehydrated, water added","Soupe, oignon, déshydratée, eau ajoutée",2.5993
1128,"Soup, tomato, canned, condensed, water added","Soupe, tomates, conserve, condensée, eau ajoutée",2.6392
1130,"Sauce, steak, tomato based, ready-to-serve","Sauce, bifteck, HP ou A1, prête-à-servir",0.3449
1131,"Sauce, tartar, ready-to-serve","Sauce, tartare, prête-à-servir",0.29163
1133,"Sauce, worcestershire, ready-to-serve","Sauce, worcestershire, prête-à-servir",0.05812
1135,"Sauce, mustard, brown, ready-to-serve","Sauce, moutarde, brune, prête-à-servir",0.052
1139,"Sausage, Beerwurst, beer salami, pork","Saucisse, saucisson de bière, porc",0.55
1140,"Sausage, Bockwurst, pork/veal, with milk and eggs, raw","Saucisse, Bockwurst, porc/veau, lait/oeufs, crue",0.55
1142,"Sausage, Brotwurst,  pork, beef, with nonfat dry milk","Saucisse, Brotwurst, porc, boeuf, avec lait écrémé en poudre",1.4794
1143,"Wiener (cheesefurter), cheddar smokie","Saucisse fumée, fromage, porc, boeuf",1.0
1144,"Chicken spread, canned","Poulet, tartinade à sandwich, conserve",0.75
1147,"Wiener (frankfurter), turkey","Saucisse fumée, dinde",0.56
1148,"Deli-meat, ham, cooked, sliced","Charcuterie, jambon, cuit, tranché",0.58326
1151,"Deli-meat, sandwich spread, ham","Charcuterie, garniture à sandwich, jambon",0.75
1152,"Sausage, Italian, pork, raw","Saucisse italienne, porc, crue",0.75
1153,"Sausage, Knackwurst (knockwurst), raw","Saucisse, knackwurst (knockwurst), porc, boeuf",1.02
1154,"Deli-meat, roast beef, cooked, sliced","Charcuterie, boeuf, cuit, tranché",0.199
1157,"Deli-meat, olive loaf, pork","Charcuterie, pain de viande aux olives, porc",0.75
1158,"Deli-meat, pastrami, turkey, sliced","Charcuterie, pastrami, dinde, tranché",0.75
1159,"Pâté, chicken liver, canned","Pâté de foie de poulet, conserve",0.55
1160,"Pâté de foie gras, (goose liver pate), smoked, canned","Pâté de foie gras, foie d'oie, fumé, conserve",0.55
1161,"Pâté, liver, unspecified meat, canned","Pâté de foie, non spécifié, conserve",0.26352
1164,"Sandwich spread, chicken and/or turkey","Tartinade pour sandwich, poulet et/ou dinde",0.55
1166,"Deli-meat, sandwich spread, unspecified meat","Charcuterie, garniture à sandwich, viande non spécifée",0.75
1167,"Sausage, smoked, pork, pre-cooked","Saucisse, fumée, porc, pré-cuite",1.08
1171,"Deli-meat, thuringer, cervelat, beef and pork","Charcuterie, saucisson, thuringer, cervelat, boeuf et porc",1.47929
1172,"Deli-meat, turkey breast, cooked, sliced","Charcuterie, poitrine de dinde, cuite, tranchée",0.15
1174,"Sausage, Vienna (cocktail), canned, chicken, beef and pork","Saucisse,  Vienne (cocktail), conserve, poulet, boeuf et porc",0.48
1175,"Sausage, Italian, pork, cooked","Saucisse italienne, porc, cuite",0.8
1178,"Sausage, blood sausage (blood pudding), raw","Saucisse, boudin, cru",0.75
1179,"Deli-meat, bologna (baloney), beef","Charcuterie, bologne, boeuf",0.28
1182,"Sausage, Bratwurst, pork, cooked","Saucisse Bratwurst, porc, cuite",0.82
1183,"Sausage, Braunschweiger (liver sausage with bacon), pork","Saucisse, saucisson Braunschweiger (saucisson de foie avec bacon), porc",0.55
1184,"Deli-meat, Dutch loaf, old fashioned, pork and beef","Pain de viande hollandais, à l'ancienne, porc et boeuf",0.76
1185,"Wiener (frankfurter), beef","Saucisse fumée, boeuf",0.75
1187,"Wiener (frankfurter), chicken","Saucisse fumée, poulet",0.38
1190,"Deli-meat, headcheese, pork","Charcuterie, tête fromagée, porc",0.75
1192,"Liver sausage, liverwurst, pork","Saucisson de foie (liverwurst), porc",0.2708
1196,"Deli-meat, pickle and pimiento loaf, pork","Charcuterie, pain de viande aux piments et aux cornichons, porc",0.55
1198,"Sausage, breakfast links or rounds, pork, raw","Saucisse à déjeuner, en chapelet ou en galette, porc, crue",0.32
1199,"Sausage, breakfast links or rounds, pork, cooked","Saucisse à déjeuner, en chapelet ou en galette, porc, cuite",1.4054
1200,"Deli-meat, salami, cooked, beef","Charcuterie, salami, cuit, boeuf",0.164
1202,"Deli-meat, salami, cooked, turkey","Charcuterie, salami, cuit, dinde",0.75
1207,"Deli-meat, chicken, cooked, sliced","Charcuterie, poulet, cuit, tranché",0.061
1212,"Deli-meat, mock chicken loaf","Charcuterie, simili poulet, pain de viande",0.252
1216,"Deli-meat, bologna (baloney), chicken","Charcuterie, bologne, poulet",0.32
1217,"Sausage, ham, pre cooked","Saucisse, jambon, pré-cuite",0.5
1220,"Deli-meat, chicken breast, cooked, extra lean","Charcuterie, poitrine de poulet, cuite, extra maigre",0.224
1222,"Cereal, ready to eat, granola, homemade","Céreale, prête-à-manger, granola, fait maison",0.55
1223,"Grains, wheat germ, toasted, plain","Grains céréaliers, germe de blé, grillé",0.0716
1224,"Cereal, hot, cream of rice, dry","Céréale, chaude, crème de riz, sèche",1.90204
1225,"Cereal, hot, cream of rice, cooked","Céréale, chaude, crème de riz, cuite",1.8
1228,"Cereal, hot, corn grits (yellow), dry","Céréale, chaude, maïs (jaune), sèche",0.4
1229,"Cereal, hot, corn grits (yellow), cooked","Céréale, chaude, maïs (jaune), cuite",1.79
1230,"Cereal, ready to eat, Alpen (muesli), Weetabix","Céréale, prête-à-manger, alpen (muesli), Weetabix",0.55
1231,"Cereal, ready to eat,  Alpha-bits, Post","Céréale, prête-a-manger, Alpha-bits, Post",0.3
1232,"Cereal, ready to eat, 'All Bran' Bran Flakes, Kellogg's","Céréale, prête-à-manger, 'All Bran' bran flakes, Kellogg's",0.3
1235,"Cereal, ready to eat, Count Chocula, General Mills","Céréale, prête-à-manger, Count Chocula, General Mills",0.3
1236,"Cereal, ready to eat, Crispix, Kellogg's","Céréale, prête-à-manger, Crispix, Kellogg's",0.3
1238,"Cereal, ready to eat, Selects: Blueberry Almond Crunch, Post","Céréale, prête-à-manger, Selects: bleuets sauvages et amandes croquantes, Post",0.55
1239,"Cereal, ready to eat, Selects: Date and Raisin Pecan Crunch, Post","Céréale, prête-à-manger, Selects: dattes, raisins secs et pacanes croquantes, Post",0.29058
1240,"Cereal, ready to eat, Harvest Crunch: original, Quaker","Céréale, prête-à-manger, Croque Nature: original, Quaker",0.46723
1242,"Cereal, ready to eat, Corn Flakes, Kellogg's","Céréale, prête-à-manger, flocons de maïs, Kellogg's",0.37162
1244,"Cereal, ready to eat, Muffets, Quaker","Céréale, prête-à-manger, Muffets: blé filamenté, Quaker",0.55
1247,"Cereal, ready to eat, Shreddies, Post","Céréale, prête-à-manger, Shreddies, Post",0.55
1248,"Cereal, ready to eat, Froot Loops, Kellogg's","Céréale, prête-à-manger, Froot Loops, Kellogg's",0.3
1249,"Cereal, ready to eat, Weetabix, Weetabix","Céréale, prête-à-manger, Weetabix, Weetabix",0.55
1251,"Cereal, ready to eat, Golden Grahams, General Mills","Céréale, prête-à-manger, Golden Grahams, General Mills",0.3
1253,"Cereal, ready to eat, Grape-nuts, Post","Céréale, prête-à-manger, Grape-nuts, Post",1.2257
1256,"Cereal, ready to eat, Cheerios: honey nut, General Mills","Céréale, prête-à-manger, cheerios, miel et noix, General Mills",0.39445
1257,"Cereal, ready to eat, Honeycomb, Post","Céréale, prête-à-manger, Honeycomb, Post",0.3
1258,"Cereal, ready to eat, Life, Quaker","Céréale, prête-à-manger, Life, Quaker",0.45435
1259,"Cereal, ready to eat, Lucky Charms, General Mills","Céréale, prête-à-manger, Lucky Charms, General Mills",0.38039
1260,"Cereal, ready to eat, 100% Bran, Post","Céréale, prête-à-manger, son de blé 100%, Post",0.63398
1262,"Cereal, ready to eat, Cinnamon Toast Crunch, General Mills","Céréale, prête-à-manger, Croc-en-cannelle, General Mills",0.28106
1263,"Cereal, ready to eat, Fibre 1, General Mills","Céréale, prête-à-manger, Fibre 1, General Mills",0.3
1264,"Cereal, ready to eat, Just Right, Kellogg's","Céréale, prête-à-manger, Just Right, Kellogg's",0.64808
1265,"Cereal, ready to eat, Rice Krispies, Kellogg's","Céréale, prête-à-manger, Rice Krispies, Kellogg's",0.3
1266,"Cereal, ready to eat, Puffed Rice, unsweenened, Quaker","Céréale, prête-à-manger, riz soufflé, non-sucré, Quaker",0.17751
1267,"Cereal, ready to eat, Special K, Kellogg's","Céréale, prête-à-manger, Spécial K, Kellogg's",0.39306
1268,"Cereal, ready to eat, Corn Pops, Kellogg's","Céréale, prête-à-manger, Corn Pops, Kellogg's",0.3
1269,"Cereal, ready to eat, Frosted Flakes, Kellogg's","Céréale, prête-à-manger, Frosted Flakes, Kellogg's",0.44379
1270,"Cereal, ready to eat, Sugar Crisp, Post","Céréale, prête-à-manger, Sugar Crisp, Post",0.45648
1271,"Cereal, ready to eat, Life Multigrains, Quaker","Céréale, prête-à-manger, Life Multigrains, Quaker",0.42265
1275,"Cereal, ready to eat, Oatmeal Squares, Quaker","Céréale, prête-à-manger, Croque Avoine, Quaker",0.63398
1276,"Cereal, ready to eat, Shredded Wheat'n Bran: spoon size, Post","Céréale, prête-à-manger, bouchées blé filamenté et son, Post",0.49873
1278,"Cereal, ready to eat, Puffed Wheat, Quaker","Céréale, prête-à-manger, blé soufflé, Quaker",0.0634
1279,"Cereal, ready to eat, Shredded Wheat, Post","Céréale, prête-à-manger, blé filamenté, Post",0.55
1280,"Cereal, ready to eat, Shredded Wheat: spoon size, Post","Céréale, prête-à-manger, bouchées de blé filalmenté, Post",0.55
1291,"Cereal, ready to eat, Breakfast O's, Barbara's Bakery","Céréale, prête-à-manger, O à déjeuner, Barbara's Bakery",0.3
1292,"Cereal, ready to eat, Brown Rice Crisps, Barbara's Bakery","Céréale, prête-à-manger, riz brun soufflé, Barbara's Bakery",0.3
1293,"Cereal, ready to eat, Cheerios: Apple Cinnamon, General Mills","Céréale, prête-à-manger, cheerios: pommes cannelle, General Mills",0.42265
1295,"Cereal, ready to eat, Cheerios: multigrain, General Mills","Céréale, prête-à-manger, cheerios: multigrains, General Mills",0.3
1300,"Cereal, ready to eat, corn flakes, Barbara's Bakery","Céréale, prête-à-manger, flocons de maïs, Barbara's Bakery",0.4645
1301,"Cereal, ready to eat, Corn Flakes, President's Choice","Céréale, prête-à-manger, flocons de maïs, Choix du Président",0.37162
1303,"Cereal, ready to eat, fruit juice sweetened corn flakes, Nature's Path","Céréale, prête-à-manger, flocons de maïs: sucrés au jus de fruits, Nature's Path",0.3
1305,"Cereal, ready to eat, Corn flakes, Honey'd, Nature's Path","Céréale, prête-à-manger, flocons de maïs au miel, Nature's Path",0.3
1314,"Cereal, ready to eat, Honey Bunches of Oats (Honey Roasted), Post","Céréale, prête-à-manger, bouchées d'avoine au miel (grillées au miel), Post",0.55
1317,"Cereal, ready to eat, Fibre First Multibran, Blue Menu, President's Choice","Céréale, prête-à-manger, fibre en premier: multison, Menu Bleu, Choix du Président",0.3
1325,"Cereal, ready to eat, Flax Plus Red Berry Crunch, Nature's Path","Céréale, prête-à-manger, Flax Plus: baie rouges croustillantes, Nature's Path",0.55
1326,"Cereal, ready to eat, Granola: Blueberry, light, Rogers","Céréale, prête-à-manger, granola: bleuets, légère, Rogers",0.55
1327,"Cereal, ready to eat, Granola: Maple raisin, light, Rogers","Céréale, prête-à-manger, granola: raisins érable, légère, Rogers",1.1623
1328,"Cereal, ready to eat, Granola: Raspberry almond, light, Rogers","Céréale, prête-à-manger, granola: framboises et amandes, légère, Rogers",0.55
1331,"Cereal, ready to eat, Flax Plus Pumpkin Raisin Crunch, Nature's Path","Céréale, prête-à-manger, croustillantes avec graines de citrouilles et raisins, Nature's Path",0.55
1332,"Cereal, ready to eat, Granola: Apples 'n cinnamon, Rogers","Céréale, prête-à-manger, granola: pommes et cannelle, Rogers",0.55
1333,"Cereal, ready to eat, Granola: with raisins, Rogers","Céréale, prête-à-manger, granola: avec raisins secs, Rogers",0.55
1334,"Cereal, ready to eat, Granola: with almonds, Rogers","Céréale, prête-à-manger, granola: avec amandes, Rogers",0.55
1335,"Cereal, ready to eat, Harvest Crunch: Honey Nut, Light and Crisp, Quaker","Céréale, prête-à-manger, Croque Nature: original, faible en gras, Quaker",0.11412
1336,"Cereal, ready to eat, Harvest Crunch: Raisins with almonds, low fat, Quaker","Céréale, prête-à-manger, Croque Nature: raisins avec amandes, faible en gras, Quaker",0.55
1337,"Cereal, ready to eat, Harvest Crunch: Raisins and almonds, Quaker","Céréale, prête-à-manger, Croque Nature: raisins secs et amandes, Quaker",0.55
1338,"Cereal, ready to eat, Heritage Flakes, Nature's Path","Céréale, prête-à-manger, Heritage Flakes, Nature's Path",0.3
1339,"Cereal, ready to eat, Heritage O's, Nature's Path","Céréale, prête-à-manger, Heritage O's, Nature's Path",0.3
1344,"Cereal, ready to eat, Honey Bunches of Oats with almonds, Post","Céréale, prête-à-manger, bouchées d'avoine au miel avec amandes, Post",0.45087
1348,"Cereal, ready to eat, Kashi: puffed, Kashi","Céréale, prête-à-manger, Kashi: soufflée, Kashi",0.20076
1350,"Cereal, ready to eat, Blueberry Muesli with Almonds, Nature's Path","Céréale, prête-à-manger, muesli: bleuets et amandes, Nature's Path",0.55
1353,"Cereal, ready to eat, Heritage Muesli, Nature's Path","Céréale, prête-à-manger, Muesli: Héritage, Nature's Path",0.55
1360,"Cereal, ready to eat, Muslix: various flavours, Kellogg's","Céréale, prête-à-manger, muesli: saveurs variées, Kellogg's",0.4438
1367,"Cereal, ready to eat, Oatmeal Crisp. various flavours, (almond, maple nut, raisin, triple berry, vanilla almond), General Mills","Céréale, prête-à-manger, avoine croquante, saveurs variées, (amandes, érable et noix, rasins sec, baies, amandes vanilles),  General Mills",0.55
1372,"Cereal, ready to eat, Raisin Bran, Kellogg's","Céréale, prête-à-manger, Raisin Bran, Kellogg's",0.62342
1374,"Cereal, ready to eat, Raisin Bran: Loads of Raisins, President's Choice","Céréale, prête-à-manger, Plein de raisons secs: son et raisins secs, Choix du Président",0.55
1375,"Cereal, ready to eat, Flax plus Raisin Bran, Nature's Path","Céréale, prête-à-manger, flax plus: son de raisins, Nature's Path",0.77487
1378,"Cereal, ready to eat, Reese Puffs (Peanut butter), General Mills","Céréale, prête-à-manger, Reese Puffs (Beurre d'arachide), General Mills",0.3
1380,"Cereal, ready to eat, Shredded Spoonfuls, Barbara's Bakery","Céréale, prête-à-manger, bouchées de blé filamenté, Barbara' Bakery",0.55
1381,"Cereal, ready to eat, Shredded Wheat, Barbara's Bakery","Céréale, prête-à-manger, blé filamenté, Barbara's Bakery",0.55
1382,"Cereal, ready to eat, Shreddies, honey, Post","Céréale, prête-à-manger, Shreddies, miel, Post",0.55
1383,"Cereal, ready to eat, Smart Bran Psyllium, Nature's Path","Céréale, prête-à-manger, Smart Bran avec psyllium, Nature's Path",0.55
1386,"Cereal, ready to eat, Toasted O's, President's Choice","Céréale, prête-à-manger, O's grillés, Choix du Président",0.3
1387,"Cereal, ready to eat, Toasted Oat O's, President's Choice","Céréale, prête-à-manger, avoine grillée en O, Choix du Président",0.3
1391,"Cereal, ready to eat, Puffins: original, Barbara's Bakery","Céréale, prête-à-manger, Puffins: original, Barbara's Bakery",0.3804
1393,"Cereal, ready to eat, Millet Rice, Nature's Path","Céréale, prête-à-manger, Millet Rice (riz), Nature's Path",0.3
1397,"Cereal, hot, cream of wheat, regular, dry","Céréale, chaude, crème de blé, nature, sèche",0.4
1398,"Cereal, hot, cream of wheat, regular, prepared","Céréale, chaude, crème de blé, nature, préparée",1.85651
1399,"Cereal, hot, cream of wheat, quick, dry","Céréale, chaude, crème de blé, rapide, sèche",0.4
1400,"Cereal, hot, cream of wheat, quick, prepared","Céréale, chaude, crème de blé, rapide, préparée",2.5255
1401,"Cereal, hot, 9 grain, dry, Rogers","Céréale, chaude, 9 grain, sèche, Rogers",0.4
1402,"Cereal, hot, 9 grain, prepared, Rogers","Céréale, chaude, 9 grain, préparée, Rogers",1.38
1403,"Cereal, hot, cream of wheat, instant: original, dry","Céréale, chaude, crème de blé, instantanée: original, sèche",0.4
1404,"Cereal, hot, cream of wheat, instant: original, prepared","Céréale, chaude, crème de blé, instantanée: original, préparée",2.5466
1413,"Cereal, hot, oats, instant: regular, dry","Céréale, chaude, avoine (gruau), instantanée: nature, sèche",0.28
1414,"Cereal, hot, oats, instant: regular, prepared","Céréale, chaude, avoine (gruau), instantanée: nature, préparée",1.73076
1415,"Cereal, hot, oats, instant: apple and cinnamon, dry, Quaker","Céréale, chaude, avoine (gruau), instantanée: pommes et cannelle, sèche, Quaker",0.33
1416,"Cereal, hot, oats, instant: apple & cinnamon, prepared, Quaker","Céréale, chaude, avoine (gruau), instantanée: pommes et cannelle, préparée, Quaker",1.73076
1419,"Cereal, hot, oats, instant: cinnamon and spice, dry, Quaker","Céréale, chaude, avoine (gruau), instantanée: cannelle et épices, sèche, Quaker",0.42
1420,"Cereal, hot, oats, instant: cinnamon and spice, prepared, Quaker","Céréale, chaude, avoine (gruau), instantanée: cannelle et épices, préparée, Quaker",1.73076
1421,"Cereal, hot, oats, instant: maple and brown sugar, dry, Quaker","Céréale, chaude, avoine (gruau), instantanée: érable et cassonade, sèche, Quaker",0.43
1422,"Cereal, hot, oats, instant: maple and brown sugar, prepared, Quaker","Céréale, chaude, avoine (gruau), instantanée: érable et cassonade, préparée, Quaker",1.73076
1423,"Cereal, hot, oats, instant: raisins and spice, dry, Quaker","Céréale, chaude, avoine (gruau), instantanée: raisins et épices, sèche, Quaker",0.43
1424,"Cereal, hot, oats, instant: raisins and spice, prepared, Quaker","Céréale, chaude, avoine (gruau), instantanée: raisins secs et épices, préparée, Quaker",1.73076
1431,"Cereal, hot, oats, porridge, (with added oat bran, wheat bran, and flax seed), dry, Rogers","Céréale, chaude, avoine (gruau), son de blé, son d'avoine, et graines de lin ajoutés, sèche, Rogers",0.4
1432,"Cereal, hot, oats, porridge (with added oat bran, wheat bran and flax seed), prepared, Rogers","Céréale, chaude, avoine (gruau), son de blé, son d'avoine et graines de lin ajoutés, préparée, Rogers",1.4
1435,"Cereal, hot, oats, instant: peaches 'n cream, dry, Quaker","Céréale, chaude, avoine (gruau), instantanée: pêches et crème, sèche, Quaker",0.33
1436,"Cereal, hot, oats, instant: peaches 'n cream, prepared, Quaker","Céréale, chaude, avoine (gruau), instantanée: pêches et crème, préparée, Quaker",1.73076
1437,"Cereal, hot, oats, one minute, dry, Quaker","Céréale, chaude, avoine (gruau), une minute, sèche, Quaker",0.4
